year,month,country,actuals,predictions
2008,7,United Kingdom,104.87094017619346,69.97868470209397
2008,8,United Kingdom,133.4099532130972,102.80554453563303
2008,9,United Kingdom,96.692678059696,97.10297576669883
2008,10,United Kingdom,114.42824126403488,79.97953967393198
2008,11,United Kingdom,77.72359507067216,101.19262414631669
2008,12,United Kingdom,73.21782455184318,85.51967588372653
2009,1,United Kingdom,95.23473557147992,96.03269033141667
2009,2,United Kingdom,51.03150723632859,70.4473668710015
2009,3,United Kingdom,71.08132444327099,69.65884351929911
2009,4,United Kingdom,65.55987858920979,67.08618165224892
2009,5,United Kingdom,88.69405848242207,78.65580918446608
2009,6,United Kingdom,71.56606064698556,75.95620911901096
2009,7,United Kingdom,143.76837582499152,83.85053392445238
2009,8,United Kingdom,112.82946008001764,75.99661297281074
2009,9,United Kingdom,56.62418982202652,93.10874513975011
2009,10,United Kingdom,80.9223082554256,84.14980498647503
2009,11,United Kingdom,167.56654285008756,91.3592447044425
2009,12,United Kingdom,77.69531664674675,64.4334533866416
2010,1,United Kingdom,66.09477160895696,72.7067021015229
2010,2,United Kingdom,70.77997056058071,55.271193903478064
2010,3,United Kingdom,72.70334760454759,72.77592406308666
2010,4,United Kingdom,50.82636665918128,79.61997724144048
2010,5,United Kingdom,50.72983159866796,60.46242054282918
2010,6,United Kingdom,46.7511404292215,66.8063108266052
2010,7,United Kingdom,106.96656049028338,58.99825626073598
2010,8,United Kingdom,98.62248973848376,109.59604803177416
2010,9,United Kingdom,98.97537382915564,93.5584045059138
2010,10,United Kingdom,88.31176568909135,96.509826822215
2010,11,United Kingdom,90.58000521477402,86.19519787165024
2010,12,United Kingdom,36.24940339660375,70.0271307006805
2011,1,United Kingdom,82.6763466984502,82.65829622897179
2011,2,United Kingdom,102.59582207849948,89.29840778268907
2011,3,United Kingdom,44.48400083255686,93.50109770164238
2011,4,United Kingdom,34.94663670821277,67.6975101074894
2011,5,United Kingdom,100.42966481940014,78.08100432352579
2011,6,United Kingdom,90.28611649170858,87.0528766598833
2011,7,United Kingdom,78.337242697843,96.50929922045555
2011,8,United Kingdom,104.87592452248975,89.4628303179815
2011,9,United Kingdom,96.28569025946808,86.37261096573746
2011,10,United Kingdom,93.37793914804766,93.78469193124114
2011,11,United Kingdom,83.30627579171201,85.71431696792972
2011,12,United Kingdom,121.5221028483644,85.9381034686496
2012,1,United Kingdom,87.86035207993332,92.74423150420229
2012,2,United Kingdom,49.40034568102951,95.7569743223533
2012,3,United Kingdom,33.21022568101211,63.133995851656216
2012,4,United Kingdom,127.71985775347136,71.31727832475742
2012,5,United Kingdom,73.9869545058735,89.14907711131866
2012,6,United Kingdom,157.91847785597554,87.05747698622692
2012,7,United Kingdom,119.83265513947332,70.88555785872718
2012,8,United Kingdom,116.93695557429784,79.3211040257233
2012,9,United Kingdom,94.76487173846816,104.52501369667897
2012,10,United Kingdom,104.38927797006431,92.0090850599292
2012,11,United Kingdom,116.35557255347034,104.75633394378299
2012,12,United Kingdom,142.98127726811452,91.17424570794688
2013,1,United Kingdom,91.84115926310147,79.5485622328435
2013,2,United Kingdom,57.46945939566172,68.82242656820439
2013,3,United Kingdom,67.04544246802863,67.73960432933441
2013,4,United Kingdom,62.90784084280824,76.79164149748664
2013,5,United Kingdom,96.17906405831036,77.62376271622799
2013,6,United Kingdom,53.210427408346185,70.29503034152691
2013,7,United Kingdom,65.1086455263417,53.86769082725554
2013,8,United Kingdom,79.8323752711381,54.99194575893456
2013,9,United Kingdom,65.97926254642677,91.0484178119913
2013,10,United Kingdom,128.32606250595637,75.15083171426622
2013,11,United Kingdom,67.83117539775725,80.81587836528598
2013,12,United Kingdom,140.66940735590896,88.55315139468478
