year,month,country,avg_temp,monthly_rainfall_mm
1984,10,United Kingdom,9.842922501258016,108.2267805288436
1984,11,United Kingdom,6.987430100805375,139.4585549781117
1984,12,United Kingdom,4.784479882386533,94.75427109349484
1985,1,United Kingdom,0.3962401985253718,69.27290697971011
1985,2,United Kingdom,2.109902139169861,35.71591599178428
1985,3,United Kingdom,3.4969694841606005,75.94654437009456
1985,4,United Kingdom,6.936565695005097,91.56181706173224
1985,5,United Kingdom,9.589662517211032,79.69582879947968
1985,6,United Kingdom,11.219707153651129,98.37204421340036
1985,7,United Kingdom,14.231094881460756,108.14938016751918
1985,8,United Kingdom,12.91011924639086,148.36598829823774
1985,9,United Kingdom,12.63317287135108,93.47671372187766
1985,10,United Kingdom,10.130986283956238,55.23534061393013
1985,11,United Kingdom,3.1613191919716104,74.65990791515758
1985,12,United Kingdom,5.44835915746855,123.57713142657217
1986,1,United Kingdom,2.4318344680711155,122.79558622750376
1986,2,United Kingdom,-1.2774339624495,23.54865873264953
1986,3,United Kingdom,4.064913062009446,101.24074834917786
1986,4,United Kingdom,4.376018610955572,99.24898219631469
1986,5,United Kingdom,9.501615240545886,125.20670854437265
1986,6,United Kingdom,13.033512763127543,56.210447927953126
1986,7,United Kingdom,13.997770513976796,65.12363648663842
1986,8,United Kingdom,12.011695619888908,117.21245595508252
1986,9,United Kingdom,10.376685383953218,33.21686004057691
1986,10,United Kingdom,9.75550785173977,90.6934670543936
1986,11,United Kingdom,6.740505446904169,129.33355347245148
1986,12,United Kingdom,4.696805052773405,157.3698424698137
1987,1,United Kingdom,0.4005751426198212,41.16566217188572
1987,2,United Kingdom,2.868523717780761,58.04960550724259
1987,3,United Kingdom,3.002076679524074,107.08780412387928
1987,4,United Kingdom,8.487940562127344,69.24604486595415
1987,5,United Kingdom,8.93150850492145,66.31439427274769
1987,6,United Kingdom,11.109012255378849,116.02359166352136
1987,7,United Kingdom,14.307409146675091,85.39591556278016
1987,8,United Kingdom,14.010617534719428,81.29080170031368
1987,9,United Kingdom,12.07937624351704,93.72834530680232
1987,10,United Kingdom,8.46028401889367,151.07450962584946
1987,11,United Kingdom,5.863452346740175,70.77823291722535
1987,12,United Kingdom,5.099096880150204,72.66544429525773
1988,1,United Kingdom,4.049727844836616,138.13454749408626
1988,2,United Kingdom,3.675362088415605,79.51890868645675
1988,3,United Kingdom,4.8467713709046745,114.7047149184687
1988,4,United Kingdom,6.88901674035973,53.36014865318871
1988,5,United Kingdom,10.461566646036374,72.62402110031061
1988,6,United Kingdom,13.413471383785202,39.06565063432476
1988,7,United Kingdom,13.261186932920593,153.00831627686068
1988,8,United Kingdom,13.67909227035914,104.86305867993744
1988,9,United Kingdom,12.029314974744915,90.0261160762574
1988,10,United Kingdom,9.435086702655854,101.38861308937808
1988,11,United Kingdom,5.111743372389503,56.5648463044526
1988,12,United Kingdom,6.728509052284349,64.41474710843487
1989,1,United Kingdom,5.897900513560923,84.2685025195133
1989,2,United Kingdom,4.9113992033893785,107.28698030297964
1989,3,United Kingdom,5.87580860606702,109.47672202308814
1989,4,United Kingdom,5.406765168916393,90.23533866019844
1989,5,United Kingdom,11.181735626863311,37.67833857525368
1989,6,United Kingdom,12.91888802256651,67.79656544793622
1989,7,United Kingdom,16.26949518998196,47.97046664420973
1989,8,United Kingdom,14.597757201008616,96.57022977865148
1989,9,United Kingdom,12.94155689332728,57.36254860147859
1989,10,United Kingdom,10.615569343094206,108.60557802822191
1989,11,United Kingdom,5.784784564929886,54.66290703235677
1989,12,United Kingdom,3.7270163470867343,97.93338389596404
1990,1,United Kingdom,5.545782392081014,135.48379206432946
1990,2,United Kingdom,5.727649754242721,161.82094139921645
1990,3,United Kingdom,6.961245355877441,84.61760792234703
